Month,Interest
2019-01-01,39
2019-02-01,30
2019-03-01,25
2019-04-01,26
2019-05-01,28
2019-06-01,31
2019-07-01,28
2019-08-01,31
2019-09-01,38
2019-10-01,33
2019-11-01,31
2019-12-01,32
2020-01-01,40
2020-02-01,30
2020-03-01,30
2020-04-01,32
2020-05-01,41
2020-06-01,39
2020-07-01,40
2020-08-01,40
2020-09-01,45
2020-10-01,38
2020-11-01,37
2020-12-01,36
2021-01-01,35
2021-02-01,39
2021-03-01,47
2021-04-01,47
2021-05-01,51
2021-06-01,60
2021-07-01,50
2021-08-01,55
2021-09-01,64
2021-10-01,53
2021-11-01,60
2021-12-01,53
2022-01-01,56
2022-02-01,64
2022-03-01,72
2022-04-01,68
2022-05-01,66
2022-06-01,72
2022-07-01,62
2022-08-01,65
2022-09-01,68
2022-10-01,83
2022-11-01,69
2022-12-01,65
2023-01-01,73
2023-02-01,74
2023-03-01,69
2023-04-01,60
2023-05-01,77
2023-06-01,80
2023-07-01,81
2023-08-01,89
2023-09-01,83
2023-10-01,82
2023-11-01,86
2023-12-01,80
2024-01-01,85
2024-02-01,100
2024-03-01,89
2024-04-01,87
2024-05-01,89
2024-06-01,88
2024-07-01,89
2024-08-01,91
2024-09-01,87
2024-10-01,88
