Month,Interest
2019-01-01,13
2019-02-01,11
2019-03-01,10
2019-04-01,17
2019-05-01,18
2019-06-01,16
2019-07-01,22
2019-08-01,24
2019-09-01,15
2019-10-01,12
2019-11-01,13
2019-12-01,17
2020-01-01,16
2020-02-01,13
2020-03-01,17
2020-04-01,12
2020-05-01,24
2020-06-01,19
2020-07-01,28
2020-08-01,27
2020-09-01,24
2020-10-01,17
2020-11-01,21
2020-12-01,12
2021-01-01,21
2021-02-01,22
2021-03-01,31
2021-04-01,22
2021-05-01,27
2021-06-01,21
2021-07-01,17
2021-08-01,19
2021-09-01,24
2021-10-01,28
2021-11-01,19
2021-12-01,35
2022-01-01,33
2022-02-01,55
2022-03-01,40
2022-04-01,42
2022-05-01,52
2022-06-01,52
2022-07-01,46
2022-08-01,52
2022-09-01,53
2022-10-01,52
2022-11-01,57
2022-12-01,58
2023-01-01,59
2023-02-01,64
2023-03-01,72
2023-04-01,78
2023-05-01,64
2023-06-01,70
2023-07-01,73
2023-08-01,58
2023-09-01,56
2023-10-01,64
2023-11-01,64
2023-12-01,62
2024-01-01,100
2024-02-01,77
2024-03-01,86
2024-04-01,66
2024-05-01,64
2024-06-01,74
2024-07-01,76
2024-08-01,67
2024-09-01,90
2024-10-01,92
