Category: All categories

Month,AI SaaS: (Worldwide)
2019-01,7
2019-02,7
2019-03,5
2019-04,7
2019-05,6
2019-06,7
2019-07,7
2019-08,9
2019-09,9
2019-10,8
2019-11,7
2019-12,6
2020-01,8
2020-02,8
2020-03,6
2020-04,7
2020-05,9
2020-06,8
2020-07,10
2020-08,9
2020-09,10
2020-10,8
2020-11,7
2020-12,7
2021-01,7
2021-02,9
2021-03,10
2021-04,9
2021-05,7
2021-06,9
2021-07,9
2021-08,9
2021-09,12
2021-10,10
2021-11,10
2021-12,10
2022-01,14
2022-02,15
2022-03,16
2022-04,16
2022-05,17
2022-06,18
2022-07,16
2022-08,17
2022-09,20
2022-10,22
2022-11,21
2022-12,28
2023-01,34
2023-02,45
2023-03,42
2023-04,44
2023-05,50
2023-06,60
2023-07,55
2023-08,58
2023-09,66
2023-10,61
2023-11,62
2023-12,62
2024-01,71
2024-02,87
2024-03,86
2024-04,86
2024-05,85
2024-06,87
2024-07,86
2024-08,91
2024-09,100
2024-10,100
