Category: All categories

Month,Low-code: (Worldwide)
2019-01,39
2019-02,30
2019-03,25
2019-04,26
2019-05,28
2019-06,31
2019-07,28
2019-08,31
2019-09,38
2019-10,33
2019-11,31
2019-12,32
2020-01,40
2020-02,30
2020-03,30
2020-04,32
2020-05,41
2020-06,39
2020-07,40
2020-08,40
2020-09,45
2020-10,38
2020-11,37
2020-12,36
2021-01,35
2021-02,39
2021-03,47
2021-04,47
2021-05,51
2021-06,60
2021-07,50
2021-08,55
2021-09,64
2021-10,53
2021-11,60
2021-12,53
2022-01,56
2022-02,64
2022-03,72
2022-04,68
2022-05,66
2022-06,72
2022-07,62
2022-08,65
2022-09,68
2022-10,83
2022-11,69
2022-12,65
2023-01,73
2023-02,74
2023-03,69
2023-04,60
2023-05,77
2023-06,80
2023-07,81
2023-08,89
2023-09,83
2023-10,82
2023-11,86
2023-12,80
2024-01,85
2024-02,100
2024-03,89
2024-04,87
2024-05,89
2024-06,88
2024-07,89
2024-08,91
2024-09,87
2024-10,88
