Category: All categories

Month,Vertical Saas: (Worldwide)
2019-01,13
2019-02,11
2019-03,10
2019-04,17
2019-05,18
2019-06,16
2019-07,22
2019-08,24
2019-09,15
2019-10,12
2019-11,13
2019-12,17
2020-01,16
2020-02,13
2020-03,17
2020-04,12
2020-05,24
2020-06,19
2020-07,28
2020-08,27
2020-09,24
2020-10,17
2020-11,21
2020-12,12
2021-01,21
2021-02,22
2021-03,31
2021-04,22
2021-05,27
2021-06,21
2021-07,17
2021-08,19
2021-09,24
2021-10,28
2021-11,19
2021-12,35
2022-01,33
2022-02,55
2022-03,40
2022-04,42
2022-05,52
2022-06,52
2022-07,46
2022-08,52
2022-09,53
2022-10,52
2022-11,57
2022-12,58
2023-01,59
2023-02,64
2023-03,72
2023-04,78
2023-05,64
2023-06,70
2023-07,73
2023-08,58
2023-09,56
2023-10,64
2023-11,64
2023-12,62
2024-01,100
2024-02,77
2024-03,86
2024-04,66
2024-05,64
2024-06,74
2024-07,76
2024-08,67
2024-09,90
2024-10,92
